neighbourhood	avg_price($)	avg_latitute	avg_longitude
Oakridge	138.1590909	49.22687545	-123.1222586
Shaughnessy	167.6779661	49.24846099	-123.1353403
Fairview	175.6511628	49.26303494	-123.1305226
Arbutus Ridge	227.3404255	49.24770532	-123.1632494
Downtown Eastside	206.6568627	49.28049134	-123.098105
Hastings-Sunrise	161.7037037	49.27820543	-123.0360401
Mount Pleasant	201.1283186	49.26367887	-123.0977624
Renfrew-Collingwood	150.6683938	49.24554103	-123.0359196
Victoria-Fraserview	143.3921569	49.22156365	-123.0643227
Riley Park	189.7135678	49.24627527	-123.1014697
Sunset	180.3205128	49.22176185	-123.0935098
Grandview-Woodland	174.2376238	49.27447306	-123.0658436
Dunbar Southlands	222.3783784	49.24671654	-123.1852556
Strathcona	192.5357143	49.2720461	-123.0969867
Marpole	167.25	49.20638963	-123.1252578
Kensington-Cedar Cottage	151.3580247	49.24889599	-123.0755634
Downtown	243.4853801	49.27893119	-123.1200116
West End	191.4597701	49.28510403	-123.1315635
Killarney	160.425	49.22317186	-123.0263839
South Cambie	165.4423077	49.25083718	-123.1210987
Kitsilano	239.1411043	49.26681613	-123.1645623
West Point Grey	241.0634921	49.26296135	-123.2049159
Kerrisdale	166.6857143	49.22605686	-123.1532529
Oaklands	195.71875	48.44132875	-123.3427541
North Park	137.7692308	48.43031469	-123.357598
Sidney	184.515625	48.65618561	-123.4039968
Fairfield	181.2978723	48.41241308	-123.3543395
Victoria West	163.4102564	48.43211146	-123.3840591
Highlands	177.1666667	48.49765611	-123.50731
Central Saanich	181.6666667	48.5787291	-123.4315272
Rockland	208.8857143	48.42163914	-123.3422654
Oak Bay	209.6551724	48.43176845	-123.3148597
James Bay	276.4303797	48.41895515	-123.3775432
North Jubilee	149.25	48.43471375	-123.3311802
Juan de Fuca	271.708502	48.46277902	-123.9814574
Sooke	209.6780822	48.3780254	-123.7173187
Esquimalt	142.1688312	48.43351818	-123.4080438
South Jubilee	141.25	48.427995	-123.3271388
Downtown	193.3992016	48.42747438	-123.3667968
Harris Green	176.2857143	48.42550143	-123.3571018
Gonzales	186.0714286	48.41473289	-123.3312858
Metchosin	182.6666667	48.38065567	-123.5350004
Langford	179.6153846	48.45058863	-123.512203
Saanich	167.6072144	48.47839262	-123.3651
North Saanich	214.2197802	48.65804256	-123.4389206
Colwood	165.7307692	48.41951404	-123.4925928
Southern Gulf Islands	238.9668874	48.83176292	-123.3162702
View Royal	164.3695652	48.45779565	-123.4398054
Hillside/Quadra	157.3636364	48.43956874	-123.3563911
Fernwood	158.1886792	48.42915811	-123.3446966
Burnside	113.7692308	48.44119692	-123.3784746
Salt Spring Island	234.5066667	48.85025222	-123.5092418
Saint George	214.44	45.1184436	-66.8314948
Lorne	176.3333333	47.06977333	-67.29893667
Springfield	144.5	45.62951107	-65.87579239
Wellington	146.637931	46.47197307	-64.68741041
Brunswick	195	46.05768	-65.55881
Brighton	131.5	46.38715	-67.3669525
Hampstead	191	45.6637245	-66.1065315
Moncton	129.2105263	46.09981379	-64.790134
Saumarez	101.6666667	47.49287267	-64.91230067
Chipman	114.25	46.17265	-65.888965
Saint-Quentin	161.4444444	47.51809111	-67.30317
New Bandon	175.6	47.81156	-65.082797
Saint Patrick	153.5217391	45.19146043	-66.96804565
Ludlow	325	46.50586	-66.298668
Hampton	127.6	45.464372	-65.856702
Cambridge	145	45.78100333	-66.05881333
Norton	178.3333333	45.61520333	-65.73322333
Dumfries	230	45.97104	-67.23623
Grand Manan	160.1276596	44.7022966	-66.7734866
Beresford	195.25	47.76391188	-65.72627938
Saint David	207.375	45.220045	-67.176115
Stanley	119.25	46.3708325	-66.6168
Petersville	180	45.45711	-66.34091
Grimmer	108	47.64961333	-67.40265
Caraquet	152.0238095	47.78302176	-64.95783802
Lepreau	179.5	45.1267	-66.478495
Andover	150.2	46.718218	-67.752024
Perth	151.25	46.74035	-67.63133
Grand Falls	199.3333333	46.85518667	-67.78050333
Derby	242.25	46.8960175	-65.6705
Carleton	148.3333333	46.90050333	-64.90918
Dalhousie	151.4285714	48.05350429	-66.4009
Westfield	157.0909091	45.35692586	-66.2082585
Harvey	168.5	45.69870333	-64.72423111
Blackville	216	46.7270297	-65.80228797
Kingston	238.2222222	45.49008111	-65.98672667
Johnston	188.5	45.8841125	-65.842605
Fredericton	127.3333333	45.9572014	-66.64455234
Bathurst	179.1276596	47.612702	-65.67699021
Wilmot	120	46.34025	-67.68685
New Maryland	137	45.86678	-66.678865
Saint-Francois	161.3636364	47.26612306	-68.70702742
Sheffield	234.2	45.933183	-66.2832648
Saint-Leonard	126	47.1602425	-67.9403
Saint Martins	213.6153846	45.35080205	-65.53817044
Bright	220.9	46.0281259	-66.9728031
Saint Andrews	200.826087	45.08371583	-67.05239183
Hopewell	189.483871	45.78582329	-64.65288197
Dorchester	190.2666667	45.92414933	-64.53492667
Kingsclear	209	45.894692	-66.861275
Saint Marys	115.3333333	45.99129167	-66.59863
Richibucto	174.3103448	46.65922345	-64.84708724
Wickham	145.7142857	45.74294286	-65.98357
North Lake	329	45.77912333	-67.72880333
Kars	283.5	45.61395	-65.91385
Aberdeen	105.3	46.515844	-67.242354
Wicklow	156.8571429	46.52215286	-67.74559571
Saint Croix	256.7333333	45.14386906	-67.12202931
Alma	200.7241379	45.60721207	-64.94087552
Saint-Jacques	165	47.43649667	-68.45774
Southesk	149.1428571	46.95207071	-65.74999871
Canterbury	229.6666667	45.90951667	-67.46132667
Hillsborough	115.2142857	45.889805	-64.69576714
Maugerville	139	45.97773	-66.50815
Northesk	223.3333333	46.96787333	-65.77204667
Madawaska	117.6785714	47.36884107	-68.32849679
Kent	145.9166667	46.48800833	-67.5892075
Pennfield	189.8333333	45.08578833	-66.68117333
Clair	245.5	47.234705	-68.61616
Prince William	157	45.874955	-67.059045
Waterborough	172.3333333	45.96400467	-65.9524845
Dufferin	305.4	45.17114	-67.198454
Colborne	179.25	47.98588575	-66.252734
Campobello	211.0416667	44.88492567	-66.96505742
Sussex	103.2857143	45.714561	-65.50895814
Hardwicke	252.8571429	47.05485143	-65.07274714
Saint Stephen	162.0769231	45.18862073	-67.28344978
Durham	216.6666667	47.93449467	-66.09935033
Paquetville	106.6666667	47.66441333	-65.22656667
Musquash	233.3333333	45.13247	-66.36328667
Gordon	158	46.88702	-67.41432
Sackville	125.25	45.90886083	-64.3842525
West Isles	256.5	44.92507769	-66.98603346
Nelson	170.0714286	46.89495307	-65.64414579
Studholm	122.5	45.73541	-65.540735
Inkerman	148.6666667	47.65549332	-64.87658717
Canning	203.2857143	45.95850085	-66.09895404
Southhampton	127.5	45.9736475	-67.2413775
Cardwell	152.5	45.726745	-65.243285
Weldford	309.0769231	46.54216231	-65.04595923
Shippagan	147.5333333	47.78706474	-64.66642597
Botsford	172.3043478	46.15261913	-64.05215217
Shediac	213.1855204	46.23081968	-64.49157729
Elgin	165	45.830969	-64.9558115
Lac-Baker	165	47.3596666	-68.6787962
Eldon	146.9	47.94402	-66.977148
Addington	146.7272727	47.99534636	-66.70140273
Douglas	240.5714286	45.9928637	-66.75152407
Westmorland	145.1	46.005462	-64.066757
Newcastle	198.2	47.036102	-65.497865
Chatham	137.125	47.050305	-65.4221325
Manners Sutton	151.3333333	45.67495917	-67.02950333
McAdam	171	45.59641	-67.31797
Burton	101.3333333	45.85400333	-66.41841
Saint-Louis	173	46.75771111	-65.01952556
City of Saint John	113.313253	45.27942725	-66.05633037
Waterford	182.4	45.6783927	-65.3631584
Blissfield	177.3333333	46.56000333	-66.11153
Alnwick	136.125	47.2865475	-65.05789188
Grand Falls Town	162.5	47.046965	-67.7398575
Dundas	193.7710843	46.34390811	-64.58757437
Saint James	171	45.348935	-67.33222
Coverdale	124.3846154	46.05910808	-64.79010269
Simonds	223	45.270955	-65.71877
Gagetown	147.4	45.797696	-66.161106
Oaklands	195.71875	48.44132875	-123.3427541
North Park	137.7692308	48.43031469	-123.357598
Sidney	184.515625	48.65618561	-123.4039968
Fairfield	181.2978723	48.41241308	-123.3543395
Victoria West	163.4102564	48.43211146	-123.3840591
Highlands	177.1666667	48.49765611	-123.50731
Central Saanich	181.6666667	48.5787291	-123.4315272
Rockland	208.8857143	48.42163914	-123.3422654
Oak Bay	273.8983051	48.43206034	-123.3144698
James Bay	276.4303797	48.41895515	-123.3775432
North Jubilee	149.25	48.43471375	-123.3311802
Juan de Fuca	316.0551181	48.46240346	-123.9761908
Sooke	245.3020134	48.37835864	-123.7166234
Esquimalt	142.1688312	48.43351818	-123.4080438
South Jubilee	141.25	48.427995	-123.3271388
Downtown	193.3992016	48.42747438	-123.3667968
Harris Green	176.2857143	48.42550143	-123.3571018
Gonzales	186.0714286	48.41473289	-123.3312858
Metchosin	182.6666667	48.38065567	-123.5350004
Langford	193.6956522	48.45057093	-123.5120654
Saanich	167.6072144	48.47839262	-123.3651
North Saanich	224.9347826	48.65820275	-123.4392153
Colwood	178.6329114	48.41952867	-123.4928079
Southern Gulf Islands	238.9668874	48.83176292	-123.3162702
View Royal	164.3695652	48.45779565	-123.4398054
Hillside/Quadra	157.3636364	48.43956874	-123.3563911
Fernwood	158.1886792	48.42915811	-123.3446966
Burnside	113.7692308	48.44119692	-123.3784746
Salt Spring Island	241.8502203	48.85042251	-123.5094014
Montcalm	129.8979592	46.8027409	-71.23086329
Quartier 4-6	101.5833333	46.84614083	-71.25378833
Quartier 4-3	190.6666667	46.88305667	-71.25211667
Chutes-Montmorency	147.326087	46.88635165	-71.14992548
Quartier 5-1	224.4	46.94211983	-71.24782853
Neufchâtel-Est/Lebourgneuf	150.90625	46.84836381	-71.31328003
Saint-Sacrement	114.7333333	46.79325545	-71.25406734
Cap-Rouge	202	46.75031855	-71.37399859
Pointe-de-Sainte-Foy	184.25	46.75509875	-71.3208025
Saint-Roch	202.375	46.81381991	-71.22476702
Vieux-Québec/Cap-Blanc/Colline parlementaire	240.4013304	46.81184148	-71.20546023
Quartier 5-4	136.5	46.86428563	-71.18205625
Quartier 4-5	178.0909091	46.85752727	-71.27059818
Notre-Dame-des-Laurentides	140.0882353	46.92256135	-71.32093371
Quartier 5-2	138.5384615	46.88452	-71.20024077
Sillery	115.7777778	46.7753744	-71.25239131
Des Châtels	135.3333333	46.85254	-71.38962667
Saint-Émile	210.3333333	46.876565	-71.334455
Saint-Jean-Baptiste	186.305	46.80997247	-71.22070208
Loretteville	147.7931034	46.85729931	-71.35944276
Val-Bélair	137.9444444	46.86160644	-71.44598489
Vieux-Limoilou	124.2886598	46.82487772	-71.22906389
Duberger-Les Saules	110.7083333	46.81224983	-71.327618
Quartier 4-2	147.8	46.8805986	-71.281574
Lairet	104.5641026	46.8339801	-71.24350849
L'Aéroport	252	46.79406867	-71.37045683
Vieux-Moulin	100.28	46.85037392	-71.2142278
Saint-Louis	105.4230769	46.76291692	-71.29534385
Saint-Sauveur	133.7639752	46.81018932	-71.23634626
Lac-Saint-Charles	182.85	46.9256245	-71.382481
Saint-Léonard	119.2051282	45.58365318	-73.58974215
Hampstead	105.4285714	45.48124429	-73.63742
Montréal-Est	320	45.63029	-73.49845
Dorval	132.8	45.444916	-73.7550345
Le Plateau-Mont-Royal	137.4366667	45.52314251	-73.58043462
Côte-des-Neiges-Notre-Dame-de-Grâce	109.428165	45.48428913	-73.6255657
Outremont	133.6818182	45.51945506	-73.60819614
Saint-Laurent	103.7923077	45.51485896	-73.688454
Dollard-des-Ormeaux	140.48	45.4859724	-73.816618
L'Île-Bizard-Sainte-Geneviève	208.6875	45.50108631	-73.93008431
Pierrefonds-Roxboro	126.5833333	45.50264582	-73.8223191
Westmount	148.5333333	45.48441	-73.59495
Kirkland	149.6	45.451922	-73.861672
Pointe-Claire	123.0333333	45.45067211	-73.80619305
Le Sud-Ouest	144.3939394	45.477474	-73.57595298
Ville-Marie	157.2928157	45.5075769	-73.56579421
Baie-d'Urfé	245.25	45.40976079	-73.90589171
Sainte-Anne-de-Bellevue	107.6	45.395834	-73.96366733
LaSalle	110.0941176	45.43012306	-73.62285671
Côte-Saint-Luc	147.2	45.46828918	-73.66140605
Mont-Royal	118.05	45.51821028	-73.64509879
Beaconsfield	130.9375	45.43149625	-73.86395875
Lachine	115.8032787	45.44073098	-73.67579769
Rosemont-La Petite-Patrie	105.9917258	45.54338239	-73.5939528
Waverley West	107.2352941	49.79334746	-97.18317916
River Heights - Fort Garry	122.0972222	49.85790593	-97.17446319
Daniel McIntyre	111.1980198	49.89022263	-97.15918308
Charleswood - Tuxedo - Westwood	127.5	49.85389682	-97.24749665
St. Boniface	114.7333333	49.87794395	-97.10787207
North Kildonan	132.1764706	49.9449941	-97.06912054
Point Douglas	111.3529412	49.90373172	-97.14462079
